Nr.,VBB-Name,GKZ,lon,lat,GK4-X,GK4-Y
9072103,Halker Zeile,Berlin,13.392505,52.412763,4594853,5809743
9210350,Hamannstr.,Falkensee,13.078990,52.560239,4573276,5825788
9001205,Hamburger Bahnhof,Berlin,13.373103,52.527552,4593290,5822490
9140009,Hamburger Platz,Berlin,13.438930,52.555546,4597695,5825692
9210107,Hamburger Str.,Falkensee,13.134884,52.558188,4577070,5825618
9310503,Hamburger Str.,Schöneiche (bei Berlin),13.703962,52.459975,4615920,5815450
9220014,Hamburger/Kieler Str.,Stahnsdorf,13.243557,52.387472,4584767,5806744
9045151,Hanauer Str.,Berlin,13.320263,52.477016,4589807,5816800
9066404,Händelplatz,Berlin,13.315422,52.449919,4589533,5813779
9170526,Hänflingsteig,Berlin,13.542634,52.536229,4604774,5823688
9073256,Hanielweg,Berlin,13.366610,52.417550,4593081,5810242
9220086,Hannemannstr.,Teltow,13.291089,52.409080,4587960,5809205
9230207,Hannes-Meyer-Str.,Potsdam,13.040468,52.415372,4570896,5809630
9230141,Hans-Albers-Str.,Potsdam,13.140501,52.369818,4577782,5804664
9150521,Hansastr.,Berlin,13.474406,52.549367,4600115,5825053
9210101,Hansastr./Bredower Str.,Falkensee,13.082133,52.564524,4573482,5826268
9210149,Hansastr./Friedrich-Engels-Allee,Falkensee,13.081738,52.574224,4573439,5827347
9150002,Hansastr./Malchower Weg,Berlin,13.500679,52.561052,4601870,5826390
9191509,Hänselstr.,Berlin,13.480903,52.469963,4600737,5816227
9194500,Hans-Schmidt-Str.,Berlin,13.532976,52.433709,4604361,5812267
9031156,Harburger Weg,Berlin,13.163289,52.533297,4579041,5822879
9036155,Harriesstr.,Berlin,13.259922,52.546147,4585573,5824419
9182510,Hartlebenstr.,Berlin,13.632907,52.456700,4611099,5814974
9050357,Hartmannsweilerweg,Berlin,13.248925,52.438669,4585034,5812447
9075102,Harzer Str./Wildenbruchstr.,Berlin,13.446356,52.486352,4598353,5818003
9034105,Haselhorster Damm/Gartenfelder Str.,Berlin,13.240628,52.543125,4584270,5824060
9081253,Hasenhegerweg,Berlin,13.449210,52.421338,4598692,5810773
9016250,Hasenheide,Berlin,13.418968,52.487556,4596490,5818100
9350262,Hasenheide,Bernau,13.625981,52.671245,4610090,5838835
9048155,Hasensprung,Berlin,13.271871,52.486803,4586500,5817830
9192505,Hasselwerderstr.,Berlin,13.514156,52.455189,4603031,5814630
9089455,Hatzfeldtallee,Berlin,13.291617,52.592817,4587630,5829650
9022105,Haubachstr.,Berlin,13.300864,52.515391,4588412,5821046
9037159,Hauptstr.,Berlin,13.140532,52.530337,4577502,5822525
9132010,Hauptstr./Friedrich-Engels-Str.,Berlin,13.375487,52.597184,4593304,5830241
9150020,Hauptstr./Rhinstr.,Berlin,13.504760,52.548868,4602175,5825040
9132506,Hauptstr./Schillerstr.,Berlin,13.369482,52.587754,4592917,5829184
9132526,Hauptweg,Berlin,13.382703,52.598528,4593790,5830400
9079252,Haus Bremen,Berlin,13.427509,52.463969,4597122,5815487
9003253,Haus der Kulturen der Welt,Berlin,13.363364,52.517598,4592650,5821370
9053255,Haus der Wannsee-Konferenz,Berlin,13.163566,52.432827,4579240,5811700
9026251,Haus des Rundfunks,Berlin,13.276591,52.507423,4586780,5820130
9194509,Haushoferstr.,Berlin,13.500551,52.447498,4602124,5813755
9002258,Havelberger Str.,Berlin,13.347673,52.531025,4591557,5822844
9091151,Havelblick,Berlin,13.209837,52.602668,4582070,5830650
9047155,Havelchaussee,Berlin,13.190613,52.459789,4581030,5814730
9034161,Haveleck,Berlin,13.227109,52.557834,4583325,5825681
9210132,Haveleck,Falkensee,13.074959,52.580496,4572969,5828038
9210641,Havelpark,Dallgow-Döberitz,13.083211,52.531074,4573611,5822547
9047151,Havelweg,Berlin,13.204074,52.491530,4581886,5818277
9170540,Havemannstr./Kemberger Str.,Berlin,13.580408,52.565326,4607266,5826981
9067253,Havensteinstr.,Berlin,13.346323,52.431929,4591671,5811816
9063252,Haydnstr.,Berlin,13.323750,52.449512,4590100,5813744
9071102,Haynauer Str.,Berlin,13.365582,52.435168,4592974,5812201
9230222,Hbf/H.-Mann-Allee,Potsdam,13.065169,52.390114,4572618,5806844
9230202,Hebbelstr.,Potsdam,13.062244,52.404106,4572396,5808398
